EmployeeID,EmployeeName,Gender,Department,SubDepartment,EmployeeType,Location,PrimaryShift,DateOfJoining
EMP0001,Nandhini Muthu,Female,Maintenance,Utilities,Contract,Modakurichi,C,2023-07-25
EMP0002,Anitha Mani,Female,Biscuit,Packing,Contract,Modakurichi,C,2023-11-10
EMP0003,Revathi Muthu,Female,Biscuit,Production,Contract,Bhavani,B,2025-01-12
EMP0004,Nandhini Kumar,Female,Biscuit,Quality,MAPS,Bhavani,C,2025-04-19
EMP0005,Dinesh Kumar,Male,Biscuit,Quality,BIL,Modakurichi,C,2024-08-08
EMP0006,Prakash Ravi,Male,Biscuit,Production,Contract,Nasiyanur,A,2025-03-12
EMP0007,Selvi Muthu,Female,Wafer,Packing,Contract,Bhavani,C,2024-07-11
EMP0008,Vignesh Selvam,Male,Biscuit,Quality,Contract,Erode,C,2025-11-24
EMP0009,Anitha Vel,Female,Wafer,Production,Contract,Kodumudi,C,2025-10-20
EMP0010,Karthik Vel,Male,Wafer,Packing,BIL,Bhavani,B,2023-11-20
EMP0011,Arun Palanisamy,Male,Biscuit,Packing,Contract,Erode,A,2025-01-13
EMP0012,Lakshmi Mani,Female,Biscuit,Production,Contract,Chithode,B,2023-10-19
EMP0013,Murugan Ravi,Male,Wafer,Packing,MAPS,Erode,B,2024-11-06
EMP0014,Arun Vel,Male,Wafer,Packing,Contract,Villarasampatti,C,2025-06-07
EMP0015,Lakshmi Muthu,Female,Biscuit,Production,BIL,Chithode,A,2022-11-05
EMP0016,Arun Gounder,Male,Maintenance,TF,BIL,Erode,C,2022-10-25
EMP0017,Priya Ravi,Female,Biscuit,Quality,Contract,Kavindapadi,A,2025-07-06
EMP0018,Dinesh Mani,Male,Biscuit,Packing,Contract,Kavindapadi,A,2023-06-28
EMP0019,Nandhini Muthu,Female,Wafer,Production,BIL,Perundurai,B,2023-06-29
EMP0020,Dinesh Rajan,Male,Biscuit,Production,Contract,Perundurai,A,2024-01-14
EMP0021,Suresh Subramani,Male,Wafer,Packing,BIL,Perundurai,B,2025-06-08
EMP0022,Saravanan Kumar,Male,Wafer,Production,Contract,Villarasampatti,B,2022-11-30
EMP0023,Murugan Muthu,Male,Biscuit,Quality,Contract,Nasiyanur,A,2025-01-03
EMP0024,Meena Palanisamy,Female,Maintenance,Utilities,BIL,Perundurai,B,2023-10-07
EMP0025,Suresh Vel,Male,Wafer,Quality,Contract,Modakurichi,C,2022-10-18
EMP0026,Suresh Palanisamy,Male,Wafer,Packing,MAPS,Bhavani,C,2024-11-26
EMP0027,Nandhini Selvam,Female,Wafer,Quality,Operator,Erode,A,2024-03-18
EMP0028,Arun Rajan,Male,Maintenance,TF,BIL,Kavindapadi,A,2023-01-21
EMP0029,Dinesh Gounder,Male,Wafer,Packing,Contract,Perundurai,B,2023-07-24
EMP0030,Rajesh Subramani,Male,Maintenance,Utilities,Contract,Bhavani,C,2025-06-06
EMP0031,Prakash Palanisamy,Male,Maintenance,Utilities,Contract,Bhavani,A,2024-11-22
EMP0032,Saravanan Subramani,Male,Biscuit,Production,Contract,Erode,A,2023-10-01
EMP0033,Suresh Palanisamy,Male,Wafer,Quality,Contract,Bhavani,B,2025-11-03
EMP0034,Anitha Muthu,Female,Biscuit,Production,Operator,Nasiyanur,C,2024-12-15
EMP0035,Murugan Vel,Male,Maintenance,Mechanical,Operator,Perundurai,A,2024-01-03
EMP0036,Murugan Ravi,Male,Biscuit,Production,Contract,Modakurichi,A,2024-01-05
EMP0037,Anitha Mani,Female,Biscuit,Packing,Contract,Perundurai,C,2024-12-30
EMP0038,Geetha Gounder,Female,Biscuit,Packing,BIL,Kavindapadi,C,2023-12-27
EMP0039,Karthik Gounder,Male,Biscuit,Production,MAPS,Nasiyanur,B,2024-03-21
EMP0040,Suresh Mani,Male,Wafer,Quality,Contract,Perundurai,B,2024-01-06
EMP0041,Karthik Mani,Male,Biscuit,Quality,Operator,Erode,A,2025-06-03
EMP0042,Suresh Palanisamy,Male,Biscuit,Production,Contract,Erode,C,2025-10-01
EMP0043,Murugan Vel,Male,Biscuit,Quality,Contract,Kavindapadi,A,2023-05-19
EMP0044,Vignesh Mani,Male,Biscuit,Production,Contract,Kodumudi,C,2024-08-02
EMP0045,Arun Gounder,Male,Wafer,Quality,MAPS,Perundurai,A,2024-08-16
EMP0046,Saravanan Mani,Male,Maintenance,TF,Operator,Bhavani,B,2023-06-04
EMP0047,Senthil Ravi,Male,Biscuit,Quality,Contract,Kavindapadi,B,2023-04-01
EMP0048,Dinesh Selvam,Male,Wafer,Production,Contract,Villarasampatti,A,2024-08-01
EMP0049,Prakash Gounder,Male,Biscuit,Quality,Contract,Gobichettipalayam,A,2025-03-02
EMP0050,Priya Mani,Female,Maintenance,Electrical,Contract,Villarasampatti,C,2023-03-15
EMP0051,Priya Mani,Female,Wafer,Quality,Contract,Bhavani,B,2025-10-22
EMP0052,Priya Subramani,Female,Maintenance,Utilities,BIL,Perundurai,B,2023-08-06
EMP0053,Murugan Subramani,Male,Biscuit,Quality,MAPS,Kodumudi,C,2024-06-29
EMP0054,Anitha Kumar,Female,Maintenance,Electrical,BIL,Perundurai,B,2023-12-12
EMP0055,Karthik Palanisamy,Male,Wafer,Packing,Contract,Bhavani,B,2022-12-21
EMP0056,Rajesh Rajan,Male,Wafer,Quality,Contract,Erode,C,2025-08-22
EMP0057,Anitha Muthu,Female,Wafer,Production,Contract,Kavindapadi,C,2023-04-21
EMP0058,Rajesh Palanisamy,Male,Biscuit,Production,Contract,Erode,A,2022-12-02
EMP0059,Rajesh Gounder,Male,Wafer,Production,Operator,Bhavani,B,2023-12-16
EMP0060,Dinesh Kumar,Male,Maintenance,Mechanical,Operator,Erode,A,2023-03-13
EMP0061,Karthik Rajan,Male,Wafer,Production,Contract,Nasiyanur,C,2023-08-09
EMP0062,Vignesh Gounder,Male,Biscuit,Packing,Contract,Modakurichi,C,2023-06-02
EMP0063,Prakash Subramani,Male,Maintenance,Mechanical,MAPS,Perundurai,A,2023-10-15
EMP0064,Selvi Vel,Female,Wafer,Production,MAPS,Perundurai,A,2025-02-23
EMP0065,Vignesh Ravi,Male,Biscuit,Production,BIL,Perundurai,C,2025-11-26
